Guid,Name,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,Phone,Fax,Website,Industry,AnnualRevenue,NumberOfEmployees,Description,Jigsaw,AccountSource,SicDesc,SBQQ__AssetQuantitiesCombined__c,SBQQ__CoTermedContractsCombined__c,SBQQ__ContractCoTermination__c,SBQQ__IgnoreParentContractedPrices__c,SBQQ__PreserveBundle__c,SBQQ__PriceHoldEnd__c,SBQQ__RenewalModel__c,SBQQ__RenewalPricingMethod__c,SBQQ__TaxExempt__c,SBQQ__CoTerminationEvent__c,SF_Training__c
8628af2c-bd93-4ee0-bf37-b1ca9f606ac2,Zoomcast,Prospect,#N/A,1 Express Way,Saint Louis,MO,63121-1824,United States,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.314.996.0900,#N/A,#N/A,Retail,1.01752E11,#N/A,Rhapsodic AG is the leader in Retail in Saint Louis,#N/A,#N/A,#N/A,false,false,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
0b971855-b117-48b9-9216-13933f157593,Cedar Point,Customer,#N/A,#N/A,#N/A,OH,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Entertainment,#N/A,2600,#N/A,#N/A,#N/A,#N/A,false,false,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
33244dc5-224e-4b59-a6eb-5eb0e1670d3b,Shuffletag,Customer,#N/A,1 Post St FL 18,San Francisco,CA,94104-5284,United States,#N/A,#N/A,#N/A,3003 E 3rd Ave #201,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.415.983.8300,#N/A,#N/A,Non Profit,1.90884E11,#N/A,Save the Wild is the leader in Non Profit in San Francisco,#N/A,#N/A,#N/A,false,false,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
f1c1aa20-94c5-4fbe-a8b9-221e42ca1994,Blogspan,Prospect,#N/A,574 Duke Circle,Sioux City,OH,51105,United States,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Financial Services,3308479.0,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
e9972611-c634-4f13-8651-148077cb30b1,Jabbertype,Prospect,#N/A,71 Miller Hill,Indianapolis,IN,46202,United States,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Utilities,1222212.0,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
31eade5e-7bea-4f8e-8f37-a40483a150af,Topicshots,Prospect,#N/A,1 SW Bowerman Dr,Beaverton,OR,97005-0979,United States,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.503.671.6453,#N/A,#N/A,Technology,3.0601E10,#N/A,Gadgetron is the leader in Technology in Beaverton,#N/A,#N/A,#N/A,false,false,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
fc4aab1e-cf42-49f8-b3a4-35f4fdd9fe4f,Oyonder,Prospect,#N/A,08697 Ryan Junction,Cincinnati,OH,45271,United States,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Construction,2.0845725E7,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
94109c96-c38a-4c09-aac4-d3fb8778b335,Photolist,Customer,#N/A,18 Hillside Rd,Avoca Beach,NSW,2251,Australia,#N/A,#N/A,#N/A,18 Hillside Rd,Avoca Beach,NSW,2251,Australia,#N/A,#N/A,#N/A,(02) 7233 8627,#N/A,#N/A,Healthcare,4.12752795E8,#N/A,CL North is the leader in Healthcare in Avoca Beach,#N/A,#N/A,#N/A,false,false,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
62daecfe-8728-4927-8172-ff7de796551c,Yamia,Prospect,#N/A,700 Anderson Hill Rd,Purchase,NY,10577-1444,United States,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.914.253.2000,#N/A,#N/A,Hospitality,6.3056E10,#N/A,General Services Corporation is the leader in Hospitality in Purchase,#N/A,#N/A,#N/A,false,false,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
f56ebb78-427e-422f-8087-0e73656bba06,Babblestorm,Prospect,#N/A,1011 Centre Road,Berlin,Berlin,#N/A,Germany,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Biotechnology,2.89485471E8,#N/A,Strickland Propane is the leader in Biotechnology in Berlin,#N/A,#N/A,#N/A,false,false,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
