Guid,AccountId,SuppliedName,SuppliedEmail,SuppliedPhone,SuppliedCompany,Type,Status,Reason,Origin,Subject,Priority,Description,IsEscalated,Comments
4b465fb7-2cb6-42a6-bff6-ae68973f4b8e,f56ebb78-427e-422f-8087-0e73656bba06,#N/A,#N/A,#N/A,#N/A,Problem,Escalated,New problem,#N/A,Newest update cause an error,High,When I upgraded to the newest version some of my integrations broke,false,#N/A
e920a2e5-27eb-4cdf-afc6-dc8e4818d7b2,12758ef2-865b-4413-bc4a-03fcf267e91e,#N/A,#N/A,#N/A,#N/A,Feature Request,Approved,New problem,#N/A,Widgets aren't waterproof,Low,Is it possible to make our widgets waterproof?,false,#N/A
27c276ac-7f13-4677-9162-bd71c677220e,8313a611-528f-4b17-91ee-a39a66338c7d,#N/A,#N/A,#N/A,#N/A,Question,Pending Approval,User didn't attend training,#N/A,Can I delete all my profiles?,Medium,I was wondering if It is possible to o delete my profiles and start from scratch?,false,#N/A
ca7dff98-ff8c-4efb-8e54-aea015374c89,e9972611-c634-4f13-8651-148077cb30b1,#N/A,#N/A,#N/A,#N/A,Feature Request,New,Instructions not clear,#N/A,How do we restrict access?,Medium,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,false,#N/A
037e9609-9b6b-42c2-9f96-99913cbdb79b,b3695549-ddb4-48e8-9bf9-b918ee1f1dff,#N/A,#N/A,#N/A,#N/A,Feature Request,Rejected,New problem,#N/A,Waterproof Widgets don’t float,Low,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,#N/A
f996ba8c-b3c8-4894-9649-18259a3d98c1,8d6761e7-7b1c-4870-9003-a3a781797b57,#N/A,#N/A,#N/A,#N/A,Feature Request,Approved,New problem,#N/A,Widgets aren't waterproof,Low,Is it possible to make our widgets waterproof?,false,#N/A
f179980c-9331-41f6-88a1-1759df458313,02fbb698-e655-4f56-8006-d0a1c122ed05,#N/A,#N/A,#N/A,#N/A,Problem,Closed,New problem,#N/A,Newest update cause an error,High,When I upgraded to the newest version some of my integrations broke,false,#N/A
0715ae65-cf1f-4fd8-a6ca-1a780d617958,e7240d98-ecce-486e-9bdf-d0a0a4dab761,#N/A,#N/A,#N/A,#N/A,Question,Rejected,#N/A,#N/A,Reset my password,Medium,#N/A,false,#N/A
5d306db5-68a8-4cbf-aa22-dcf8e2648939,ad957499-2386-4f9b-a5fd-e6bd425b73a3,#N/A,#N/A,#N/A,#N/A,Question,Rejected,User didn't attend training,#N/A,Can I delete all my profiles?,Medium,I was wondering if It is possible to o delete my profiles and start from scratch?,false,#N/A
4b2c2cc8-d520-4445-b7b7-6077c5a043fc,0255c937-e703-4505-b7a9-8c9747e8b113,#N/A,#N/A,#N/A,#N/A,Feature Request,Escalated,Instructions not clear,#N/A,Login credentials,Medium,I have forgotten my login. Please send me new credentials.,false,#N/A
a94b2395-4533-4b25-8d20-0f6a245d60ed,466ba7d2-0642-496f-9327-e4ad8314b216,#N/A,#N/A,#N/A,#N/A,Question,Pending Approval,User didn't attend training,#N/A,Can I delete all my profiles?,Medium,I was wondering if It is possible to o delete my profiles and start from scratch?,false,#N/A
baa3b091-4d47-49a6-8b1d-35afcd286282,8cc6be39-02de-4554-9f76-cb3a8966759a,#N/A,#N/A,#N/A,#N/A,Feature Request,Approved,Complex Functionallity,#N/A,Third Party Integrations,Medium,My company makes and app. Can we integrate it with your products?,false,#N/A
a843e47f-ad4b-42c6-911a-cfe6523a83f4,0ba3146b-df2e-499e-a5c7-428305fca5a0,#N/A,#N/A,#N/A,#N/A,Feature Request,Rejected,New problem,#N/A,Widgets aren't waterproof,Low,Is it possible to make our widgets waterproof?,false,#N/A
9d3f9cb8-a7df-4172-8965-8850e5c589e5,73a11015-4b91-4e38-8a95-f4e39357b76d,#N/A,#N/A,#N/A,#N/A,Question,Escalated,User didn't attend training,#N/A,Template Manager and parameters,Medium,Prefers Direct Phone Outreach,false,#N/A
886929da-5283-4fc6-bdde-116e8777d0ca,56837d40-7123-4702-93a8-8aaacc4ada28,#N/A,#N/A,#N/A,#N/A,Feature Request,Escalated,Instructions not clear,#N/A,Trouble using the xyz widget,High,I'm having trouble using the xyz widget....,false,#N/A
43f3841c-789d-46ee-991f-6304b38036c9,175d987e-c994-4755-ade1-843834b6ed5d,#N/A,#N/A,#N/A,#N/A,Feature Request,Pending Approval,Instructions not clear,#N/A,Trouble using the xyz widget,High,I'm having trouble using the xyz widget....,false,#N/A
6c04ed79-ec4e-4b34-be7e-d9e1eb9d7c65,8d0d2c49-a193-46cf-967a-e18d931e6bf3,#N/A,#N/A,#N/A,#N/A,Question,Escalated,User didn't attend training,#N/A,Can I delete all my profiles?,Medium,I was wondering if It is possible to o delete my profiles and start from scratch?,false,#N/A
ea7a5174-e1d3-4e34-8076-2c71d2b71fb6,fc4aab1e-cf42-49f8-b3a4-35f4fdd9fe4f,#N/A,#N/A,#N/A,#N/A,Problem,On Hold,New problem,#N/A,Table Grouping in Excel,Medium,EMEA Case,false,#N/A
d71e5dfe-2016-460b-9352-2a681b6ae4cf,8d6761e7-7b1c-4870-9003-a3a781797b57,#N/A,#N/A,#N/A,#N/A,Feature Request,Escalated,Complex Functionallity,#N/A,Third Party Integrations,Medium,My company makes and app. Can we integrate it with your products?,false,#N/A
a5a9d256-26d2-48dd-a705-71eeee228b42,b9b93108-e892-4d27-bf0c-f4b07b80b5c7,#N/A,#N/A,#N/A,#N/A,Feature Request,Closed,New problem,#N/A,Widgets aren't waterproof,Low,Is it possible to make our widgets waterproof?,false,#N/A
6a41b798-1eac-4f64-82c2-07aaafb63ec9,98fdcff4-bc6e-4035-9427-313addf04b08,#N/A,#N/A,#N/A,#N/A,Question,New,User didn't attend training,#N/A,Can I delete all my profiles?,Medium,I was wondering if It is possible to o delete my profiles and start from scratch?,false,#N/A
d4853775-bd6f-4ba1-98b8-4edd3d70548f,4b7dd7fe-b214-4232-a232-4152511f42a3,#N/A,#N/A,#N/A,#N/A,Feature Request,Approved,New problem,#N/A,Widgets aren't waterproof,Low,Is it possible to make our widgets waterproof?,false,#N/A
909a7895-c588-48d7-b715-ca445aca4ce7,256da401-4ea1-4b19-9a84-0c9903538d5d,#N/A,#N/A,#N/A,#N/A,Feature Request,Rejected,New problem,#N/A,Widgets aren't waterproof,Low,Is it possible to make our widgets waterproof?,false,#N/A
fa9f6ef9-4246-4015-b800-7f8a48a91f6e,9b45b43a-fdc7-47ef-9570-0a632e642c2a,#N/A,#N/A,#N/A,#N/A,Feature Request,Approved,New problem,#N/A,Waterproof Widgets don’t float,Low,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,#N/A
26efc25d-a04f-448e-afe6-006a76db9ab5,8fceeffe-2bdc-494e-b793-1ba8eea80e09,#N/A,#N/A,#N/A,#N/A,Feature Request,Approved,New problem,#N/A,Waterproof Widgets don’t float,Low,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,#N/A
a1f59c0d-aa36-4d26-a363-cb40e56f9c2c,4b7dd7fe-b214-4232-a232-4152511f42a3,#N/A,#N/A,#N/A,#N/A,Feature Request,Approved,Instructions not clear,#N/A,Trouble using the xyz widget,High,I'm having trouble using the xyz widget....,false,#N/A
