Guid,AccountId,Name,Description,StageName,Amount,Probability,CloseDate,Type,NextStep,LeadSource,ForecastCategoryName,SBQQ__Contracted__c,SBQQ__CreateContractedPrices__c,SBQQ__OrderGroupID__c,SBQQ__Ordered__c,SBQQ__QuotePricebookId__c,SBQQ__Renewal__c,sbaa__ApprovalStatus__c,sbaa__ApprovalStep__c,sbaa__StepApproved__c,sbaa__SubmittedDate__c
f34ca08f-4a2b-48fa-ba7e-775c556ba2fe,4e45048b-93f7-4da8-8d56-79e6609f2b34,Blognation - New Sale,#N/A,Perception Analysis,#N/A,70.0,2024-10-12,#N/A,#N/A,#N/A,Pipeline,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
b2215081-68c2-410b-86d5-94b08ce1703e,62daecfe-8728-4927-8172-ff7de796551c,Yamia - Cross-sell,#N/A,Proposal/Price Quote,18350.0,75.0,2024-10-25,#N/A,#N/A,#N/A,Pipeline,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
dcaa7f99-0b01-4b15-9c52-3880f2c71b4a,d42605d3-8c54-4c1e-bd62-0cdca8e6b5e8,Eadel - Additional Sale,#N/A,Prospecting,34995.0,10.0,2024-09-29,#N/A,#N/A,#N/A,Pipeline,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
f2edee32-7837-40d6-85c9-47f193365cd0,d2083238-d351-4596-a0b2-1ae5e0e8e412,Fliptune - SOW 2,#N/A,Needs Analysis,71595.0,20.0,2024-10-11,#N/A,#N/A,#N/A,Pipeline,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
ef80ed8a-107e-4f29-ac53-54a78ff509b0,f56ebb78-427e-422f-8087-0e73656bba06,Babblestorm - Additional Sale,#N/A,Closed Won,72395.0,100.0,2022-11-13,#N/A,#N/A,#N/A,Closed,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
dbb1c54f-f276-4703-aa6a-ad8c0d29dd52,98fdcff4-bc6e-4035-9427-313addf04b08,Wordtune - Initial Sale,#N/A,Closed Lost,72395.0,0.0,2024-03-28,#N/A,#N/A,#N/A,Omitted,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
f234dc4e-f616-4e5e-9fa8-046e78f3c34c,48fbd67f-9f0b-4da3-a117-56a414e3e5fe,Jabbersphere - Initial Sale,#N/A,Closed Lost,72395.0,0.0,2024-03-28,#N/A,#N/A,#N/A,Omitted,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
ce411101-35c4-40ba-82e1-bb10358b2cde,256da401-4ea1-4b19-9a84-0c9903538d5d,Avaveo - Cross-sell,#N/A,Proposal/Price Quote,34350.0,75.0,2024-10-25,#N/A,#N/A,#N/A,Pipeline,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
2f539b22-234a-475f-ba5f-688e18888065,0447e566-cb88-4210-808d-819647a6e46f,Centimia - Secondary Sale,#N/A,Closed Won,32395.00000002,100.0,2024-10-09,#N/A,#N/A,#N/A,Closed,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
1d1a7f5e-f7a1-491c-b770-8a9fd7979daf,05d375ec-96c3-40f9-98b3-4744bd4132cf,Babbleopia - Upsell,#N/A,Qualification,75000.0,10.0,2024-12-15,#N/A,#N/A,#N/A,Pipeline,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
